text,rating
"I went back and forth trying to figure out what rating to give. The food was amazing and well worth 5 stars; however, the service was incredibly rude and...",2
Disappointed this time around as hubby wanted to get his Berthillon fix towards the end of our trip. We both received gelato that had ice crystals built...,2
"Macarons are a 10/10. But that brunch... so disappointing! 

We arrived with no reservations around 11 and there was just a bit of a wait to get in. The...",2
This place is permanently closed. Please update Yelp  to reflect this change. New restaurant has moved in with new name.,1
"Decent restaurant but very packed and very small. 
Service is okay, busy at most. Not too attentive. 
Seating is very tight and close together. 
Definitely...",2
We had ordered the rack of lamb and the crispy goat cheese with honey. The lamb was so fatty that there were approximately 6 small bites of meat on the...,1
"Terrible service, food is okay. Hard times just have hit the service industry here as anywhere in the world. Our waitress was noncommunicative, inattentive,...",1
Unfortunately this restaurant has passed its prime and seems stuck in the shadow of its former glory. We visited the St Germain version of L'Atilier and had...,2
"Ok, let me just state what this place is. It's a budget friendly dining hall that's like a cafeteria hall for college kids. There were lines out the door -...",2
"Terrible service and terrible food!!!! Don't not waste your time here no matter how long the line is. Waiters are rude, especially if you are American. We...",1
After reading reviews we tried to visit this establishment very excited. We ordered a 20 minute Uber ride. we were told it would be an hour to an hour and a...,1
"This review actually makes me really sad because I was really excited for this meal. *trigger warning: complaining about lame food*

When a friend and I had...",1
"Ordered a steak, pork cheek stew, eggs with mayonnaise, and a Paris Brest dessert.  The dessert was terrific.  The steak was very tough even though it was...",2
Everything here tasted pretty bad lol.  We tried the wine by the glass and when my husband couldn't drink it.  he told me that he has been spoiled by being...,2
Literally the most bland thing I've ever eaten in my life. The chicken roti pita had ZERO flavor nor seasoning. I asked a 'waiter' for some hot sauce and it...,1
Want to love this place but just too hyped that it leads to a disappointed experience. Basically because we had to do the family menu (which was not a good...,2
"I was expecting much more. The food was just ok. Interesting favors in some dishes, but we had no clue what we were eating most of the time. The overall...",2
"I went into this place because other Yelpers said to get the barbacoa and chorizo tacos.

They had neither.  
Their menu was very limited.
Who puts cream in...",1
My wife and I came here after hiking around Montmartre and saw all the great reviews for this restaurant here and on other sites. We were so looking forward...,1
Not sure what the hype is all about.  I truly believe that a lot of french people do not know good japanese food and they will just eat at all the...,1
"Given the pricing I thought this place would be much better, but no. We ordered 2 appetizers and 3 entrees. Every item was bland and not good at all. Every...",1
The staff speaks English at Baroche and provided me with an English menu. I wasn't asked for my Pass Sanitaire. There were 4 staff members and only 1 wore a...,2
"Everybody loves ice cream and gelato more than me, and I guess I'm spoiled by having been to Italy a couple of times and having world class gelato there and...",2
To start. My hotel offers breakfast but only during a certain time so I decided to search for breakfast closer to the center of Paris. I chose this place...,1
"In case you are looking for a job here - think twice. The manager, Graham, was really unpleasant and shockingly rude to someone who came in for a trial...",2
"This restaurant might have good crepes, but we wouldn't know because we didn't get served. We spoke with a waiter who told us to wait for 5 minutes before...",1
"I don't understand why they have a big  following. We love our  Asian food. We for there when they first opened only 4 or 5 couples were in, we sat down...",1
"The cold brew coffee was not good--tasted like old cold coffee. The cappuccino was delicious, but the carrot cake was unimpressive, stale and hard. Still,...",2
"Hard to find any redeeming factors: ... half the main courses and several starters were unavailable at 8.45pm, waiter went awol for 45 minutes, drinks sat...",1
I would not recommend this restaurant to friends and families who comes to Paris. We booked this dinner thinking it would be great way to taste French...,2
"I really wanted to like this place better, but we had a terrible dining experience. Granted, I don't speak French. I can't even fake a bad French accent....",2
We were super disappointed after this restaurant was recommended by a local. We ordered the bone marrow as a starter and that was a big mistake. The flavor...,2
"quite nice interior and the wine was ok. 

however - this place is just for tourists. we had cold and quite tasteless fries and there were a lot of these...",2
